"comment","timestamp","datetime"
"😘🍑😈","1:56","2023-01-19T18:00:00.000Z"
"thisisаmаzing...😘👄","1:42","2023-03-13T22:00:33.000Z"
"SUPERB!💘","0:53","2023-03-13T18:58:17.000Z"
"👍🔥💞💘❤️","0:06","2023-03-13T09:43:51.000Z"
"awesome💞","2:05","2023-03-13T09:13:28.000Z"
"💕🔥👍🔥💋","0:05","2023-03-12T20:48:01.000Z"
"🥚","0:57","2023-03-12T18:52:55.000Z"
"I love it!💛","2:46","2023-03-12T18:24:10.000Z"
"🔥💞🔥💋💗🔥","2:26","2023-03-12T15:11:43.000Z"
"litttttt👍","3:35","2023-03-12T12:03:10.000Z"
"НеУ💞😍","0:03","2023-03-12T07:57:32.000Z"
"🎁💋🔥🌟🎉💙💙","0:00","2023-03-11T22:05:32.000Z"
"martins a nigger","3:35","2023-03-10T08:25:15.000Z"
"🍆❤️💋🌟","3:34","2023-03-06T15:55:00.000Z"
"Tune🔥🔥","0:43","2023-03-04T13:51:23.000Z"
"I cant take ls","2:56","2023-03-02T16:24:41.000Z"
"🔥🔥🔥🔥💯💯💯💯","0:08","2023-03-01T09:43:33.000Z"
"10570 ALL BAD THINGS ARE THE DIRECT ACTIONS OF THE ANTICHRIST JIM MACNEILL AND ALWAYS HAVE BEEN . OM, FLORIFER, SE PULCHRIOR, ARS BONAM, BLENDITIQUEIOR, BLANDIOR, ESSE. VOLUI SEMPER CAPIENS","0:03","2023-02-27T22:17:27.000Z"
"TIBI AMICI","0:03","2023-02-26T03:24:30.000Z"
"big up Martin!!","2:26","2023-02-26T03:24:40.000Z"
"x8m","0:00","2023-02-23T14:49:01.000Z"
"Drill","1:34","2023-02-21T17:17:11.000Z"
"tunes","0:55","2023-02-21T05:09:35.000Z"
"🙌🏿","0:42","2023-02-20T00:31:13.000Z"
"2hard","0:27","2023-02-19T19:38:40.000Z"
"one way trip to martins sofaaa","0:18","2023-02-18T12:47:46.000Z"
"There is a German song with this Beat, can‘t find the song","3:05","2023-02-17T18:47:59.000Z"
"Yeah suck","1:03","2023-02-17T16:41:23.000Z"
"it come like i’m tryna do home improvements 🔨","1:32","2023-02-17T01:05:34.000Z"
"felt like I had no one 😓","3:12","2023-02-15T16:46:58.000Z"
"i’m tryna stack me a 3️⃣0️⃣","2:46","2023-02-15T16:44:40.000Z"
"everyday these birds just get more stupid 🐦","1:22","2023-02-15T16:44:01.000Z"
"swung the stick ‘round like a golfer 🏌🏾","2:40","2023-02-15T16:42:46.000Z"
"then I backed the revolver 💥","2:34","2023-02-15T16:40:47.000Z"
"I need this food right now","2:25","2023-02-15T16:39:47.000Z"
"Sat stressed out on martins sofa 🛋","0:46","2023-02-15T16:39:19.000Z"
"hard","0:19","2023-02-14T23:46:31.000Z"
"MCGOOOOOON","0:00","2023-02-14T23:22:25.000Z"
"🛋️🔥","0:57","2023-02-13T17:25:14.000Z"
"Freshh","1:00","2023-02-11T17:07:58.000Z"
"🔥🙌🔥🙌","0:15","2023-02-10T13:55:06.000Z"
"Martins sofa","0:15","2023-02-09T13:49:22.000Z"
"track reminds me of cadet 🙏","1:13","2023-02-09T13:49:29.000Z"
"@kylesyl99 slut freestyle?","1:13","2023-02-09T03:01:18.000Z"
"Wow","1:19","2023-03-02T07:42:27.000Z"
"Story of my life just wasn't Martins sofa 🤣🤣","0:08","2023-02-05T12:22:32.000Z"
"Men are so fycking sexy","0:01","2023-02-05T12:21:48.000Z"
"Yall fucked up my attendance","1:39","2023-02-04T23:30:05.000Z"
"posty","0:42","2023-02-04T14:40:09.000Z"
"leeets go","0:20","2023-02-03T03:17:04.000Z"
