"Comment","Timestamp","Datetime Posted"
"awesome💞","2:05","2023-01-19T18:00:00.000Z"
"💕🔥👍🔥💋","0:05","2023-03-12T20:48:01.000Z"
"🥚","0:57","2023-03-12T18:52:55.000Z"
"I love it!💛","2:46","2023-03-12T18:24:10.000Z"
"🔥💞🔥💋💗🔥","2:26","2023-03-12T15:11:43.000Z"
"litttttt👍","3:35","2023-03-12T12:03:10.000Z"
"НеУ💞😍","0:03","2023-03-12T07:57:32.000Z"
"Nicе💖💋","1:01","2023-03-11T22:05:32.000Z"
"SO FIREEE🔥","1:33","2023-03-11T21:04:58.000Z"
"🎁💋🔥🌟🎉💙💙","0:00","2023-03-11T20:29:10.000Z"
"martins a nigger","3:35","2023-03-10T08:25:15.000Z"
"🍆❤️💋🌟","3:34","2023-03-06T15:55:00.000Z"
"Tune🔥🔥","0:43","2023-03-04T13:51:23.000Z"
"I cant take ls","2:56","2023-03-02T16:24:41.000Z"
"💔🍑🍆💋💦","0:00","2023-03-01T09:43:33.000Z"
"🔥🔥🔥🔥💯💯💯💯","0:08","2023-02-28T10:24:41.000Z"
"10570 ALL BAD THINGS ARE THE DIRECT ACTIONS OF THE ANTICHRIST JIM MACNEILL AND ALWAYS HAVE BEEN . OM, FLORIFER, SE PULCHRIOR, ARS BONAM, BLENDITIQUEIOR, BLANDIOR, ESSE. VOLUI SEMPER CAPIENS","0:03","2023-02-27T22:17:27.000Z"
"TIBI AMICI","0:03","2023-02-26T03:24:30.000Z"
"big up Martin!!","2:26","2023-02-26T03:24:40.000Z"
"x8m","0:00","2023-02-23T14:49:01.000Z"
